,precision,recall,f1-score,support
rec.autos,0.9696969696969697,0.8909512761020881,0.9286577992744861,431.0
rec.sport.hockey,0.9899749373433584,0.9634146341463414,0.9765142150803461,410.0
sci.electronics,0.9312977099236641,0.9408740359897172,0.9360613810741688,389.0
sci.med,0.9141414141414141,0.9187817258883249,0.9164556962025315,394.0
talk.politics.misc,0.832258064516129,0.9555555555555556,0.8896551724137931,270.0
accuracy,0.9318901795142556,0.9318901795142556,0.9318901795142556,0.9318901795142556
macro avg,0.927473819124307,0.9339154455364055,0.9294688528090651,1894.0
weighted avg,0.9350503284063084,0.9318901795142556,0.9324396292310554,1894.0
